threshold,precision,recall,f1
2.456185939081479e-05,0.030706243602865915,1.0,0.05958291950525072
2.4641745767439716e-05,0.03070938683590951,1.0,0.059588836966717317
2.4645742087159306e-05,0.030712530712530713,1.0,0.0595947556036828
2.465074612700846e-05,0.030715675232927203,1.0,0.05960067541649748
2.4681916329427622e-05,0.030718820397296745,1.0,0.059606596405511816
2.472995583957527e-05,0.030721966205837174,1.0,0.05961251857107638
2.4880619093892165e-05,0.030725112658746414,1.0,0.059618441913541875
2.4905662940000184e-05,0.03072825975622247,1.0,0.0596243664332592
2.502892675693147e-05,0.03073140749846343,1.0,0.059630292130579306
2.5067218302865513e-05,0.030734555885667453,1.0,0.05963621900585337
2.507472709112335e-05,0.030737704918032786,1.0,0.05964214705943266
2.5101784558501095e-05,0.03074085459575776,1.0,0.05964807629166859
2.5141434889519587e-05,0.030744004919040786,1.0,0.05965400670291272
2.5144840037683025e-05,0.030747155888080354,1.0,0.059659938293516755
2.5163046302623115e-05,0.03075030750307503,1.0,0.059665871063832504
2.5172263121930882e-05,0.030753459764223477,1.0,0.059671805014211994
2.5210820240317844e-05,0.030756612671724422,1.0,0.059677740145007284
2.5239158276235685e-05,0.030759766225776683,1.0,0.05968367645657068
2.5257892048102804e-05,0.030762920426579164,1.0,0.05968961394925456
2.526172283978667e-05,0.030766075274330836,1.0,0.05969555262341146
2.5296099920524284e-05,0.03076923076923077,1.0,0.05970149247939408
2.5343932065879926e-05,0.0307723869114781,1.0,0.05970743351755519
2.5383118554600514e-05,0.030775543701272057,1.0,0.05971337573824781
2.5461158656980842e-05,0.030778701138811943,1.0,0.059719319141825
2.5463854399276897e-05,0.03078185922429715,1.0,0.05972526372864001
2.547840449551586e-05,0.03078501795792714,1.0,0.05973120949904622
2.548180600570049e-05,0.03078817733990148,1.0,0.05973715645339717
2.5496341550024226e-05,0.030791337370419787,1.0,0.05974310459204648
2.5581071895430796e-05,0.03079449804968179,1.0,0.05974905391534801
2.564991154940799e-05,0.030797659377887282,1.0,0.05975500442365565
2.5659575840109028e-05,0.030800821355236138,1.0,0.05976095611732352
2.5675512006273493e-05,0.03080398398192833,1.0,0.05976690899670585
2.5676148652564734e-05,0.030807147258163893,1.0,0.05977286306215698
2.571064578660298e-05,0.03081031118414296,1.0,0.05977881831403145
2.574958671175409e-05,0.030813475760065736,1.0,0.05978477475268387
2.5761080905795097e-05,0.030816640986132512,1.0,0.059790732378469075
2.5770861611817963e-05,0.03081980686254366,1.0,0.059796691191741976
2.584277535788715e-05,0.03082297338949964,1.0,0.05980265119285765
2.5856381398625672e-05,0.030826140567200986,1.0,0.059808612382171306
2.5883371563395485e-05,0.03082930839584832,1.0,0.059814574760038305
2.594842044345569e-05,0.030832476875642344,1.0,0.05982053832681417
2.5985169486375526e-05,0.030835646006783842,1.0,0.05982650308285452
2.599634899524972e-05,0.030838815789473683,1.0,0.05983246902851513
2.6032170353573747e-05,0.03084198622391282,1.0,0.05983843616415194
2.605434929137118e-05,0.030845157310302282,1.0,0.05984440449012101
2.607495480333455e-05,0.030848329048843187,1.0,0.059850374006778555
2.611691343190614e-05,0.030851501439736733,1.0,0.059856344714480925
